iter	Passed	Remaining
0	0	887
1	1	767
2	2	694
3	2	667
4	3	646
5	3	629
6	4	616
7	4	605
8	5	605
9	6	603
10	6	606
11	7	607
12	7	597
13	8	598
14	9	596
15	10	615
16	10	611
17	11	606
18	11	600
19	12	601
20	12	602
21	13	598
22	13	594
23	14	595
24	15	592
25	15	591
26	16	591
27	16	588
28	17	585
29	18	583
30	18	582
31	19	580
32	19	580
33	20	578
34	20	576
35	21	575
36	22	573
37	22	571
38	23	570
39	23	567
40	24	565
41	24	564
42	25	562
43	25	563
44	26	563
45	27	562
46	27	561
47	28	559
48	28	558
49	29	556
50	29	554
51	30	553
52	30	553
53	31	554
54	32	555
55	32	554
56	33	554
57	34	553
58	34	552
59	35	550
60	35	549
61	36	548
62	36	547
63	37	545
64	37	545
65	38	545
66	39	544
67	39	542
68	40	541
69	40	541
70	41	541
71	41	539
72	42	538
73	42	537
74	43	536
75	44	535
76	44	535
77	45	534
78	45	533
79	46	532
80	46	531
81	47	530
82	47	527
83	48	526
84	48	524
85	49	524
86	49	523
87	50	523
88	51	523
89	51	523
90	52	522
91	52	521
92	53	520
93	53	520
94	54	519
95	55	519
96	55	518
97	56	517
98	56	517
99	57	516
100	57	515
101	58	515
102	59	514
103	59	513
104	60	512
105	60	512
106	61	510
107	61	510
108	62	509
109	62	508
110	63	508
111	64	508
112	64	507
113	65	506
114	65	505
115	66	504
116	66	503
117	67	504
118	67	503
119	68	502
120	68	500
121	69	499
122	70	499
123	70	499
124	71	499
125	71	498
126	72	496
127	72	495
128	73	494
129	73	493
130	74	492
131	74	491
132	75	490
133	75	489
134	76	488
135	76	488
136	77	487
137	78	487
138	78	487
139	79	487
140	79	486
141	80	485
142	80	484
143	81	483
144	81	483
145	82	483
146	83	483
147	83	483
148	84	483
149	85	483
150	85	482
151	86	482
152	86	481
153	87	481
154	88	480
155	88	480
156	89	481
157	90	480
158	90	480
159	91	479
160	91	478
161	92	477
162	92	477
163	93	476
164	94	476
165	94	475
166	95	476
167	96	475
168	96	474
169	97	474
170	97	473
171	98	472
172	98	472
173	99	471
174	99	470
175	100	470
176	100	469
177	101	469
178	102	468
179	102	468
180	103	467
181	103	466
182	104	465
183	104	464
184	105	464
185	105	463
186	106	462
187	106	461
188	107	461
189	108	461
190	108	460
191	109	459
192	109	458
193	110	457
194	110	456
195	111	455
196	111	454
197	112	453
198	112	453
199	113	452
200	113	451
201	114	451
202	114	450
203	115	450
204	116	450
205	116	450
206	117	449
207	117	448
208	118	448
209	118	447
210	119	446
211	120	446
212	121	447
213	121	446
214	122	446
215	122	446
216	123	445
217	123	444
218	124	443
219	124	442
220	125	441
221	125	440
222	126	440
223	127	440
224	127	439
225	128	438
226	128	438
227	129	437
228	129	436
229	130	435
230	130	434
231	131	434
232	131	433
233	132	432
234	132	432
235	133	432
236	134	431
237	134	431
238	135	431
239	136	430
240	136	430
241	137	430
242	137	429
243	138	428
244	138	427
245	139	427
246	140	427
247	140	426
248	141	426
249	141	425
250	142	425
251	142	424
252	143	423
253	143	422
254	144	421
255	144	421
256	145	420
257	146	420
258	146	419
259	147	419
260	147	418
261	148	417
262	148	416
263	149	416
264	149	415
265	150	414
266	150	413
267	151	413
268	151	412
269	152	412
270	152	411
271	153	410
272	153	410
273	154	409
274	154	408
275	155	407
276	155	406
277	156	405
278	156	405
279	157	404
280	157	403
281	158	403
282	159	403
283	159	402
284	160	402
285	160	401
286	161	400
287	161	399
288	162	399
289	162	398
290	163	397
291	163	396
292	164	396
293	164	395
294	165	395
295	166	394
296	166	394
297	167	393
298	167	393
299	168	393
300	168	392
301	169	391
302	169	390
303	170	390
304	171	389
305	171	389
306	172	388
307	172	388
308	173	387
309	173	386
310	174	386
311	174	385
312	175	384
313	175	383
314	176	383
315	176	382
316	177	382
317	178	381
318	178	381
319	179	380
320	179	379
321	180	379
322	180	378
323	180	377
324	181	376
325	181	376
326	182	375
327	182	374
328	183	374
329	184	373
330	184	373
331	185	372
332	185	371
333	186	371
334	186	370
335	187	369
336	187	369
337	188	368
338	188	367
339	189	367
340	189	366
341	190	366
342	190	365
343	191	364
344	191	364
345	192	363
346	192	362
347	193	361
348	193	361
349	194	360
350	194	359
351	195	359
352	195	358
353	196	358
354	196	357
355	197	357
356	197	356
357	198	355
358	198	355
359	199	354
360	199	353
361	200	352
362	200	352
363	201	351
364	201	350
365	202	350
366	203	350
367	203	349
368	203	348
369	204	348
370	204	347
371	205	346
372	206	346
373	206	345
374	206	344
375	207	344
376	207	343
377	208	342
378	209	342
379	209	341
380	210	341
381	210	340
382	210	339
383	211	339
384	211	338
385	212	337
386	212	337
387	213	336
388	213	335
389	214	335
390	215	335
391	215	334
392	216	334
393	216	333
394	217	332
395	217	332
396	218	331
397	218	330
398	219	330
399	219	329
400	220	329
401	220	328
402	221	327
403	222	327
404	222	327
405	223	326
406	223	325
407	224	325
408	224	324
409	225	323
410	225	323
411	225	322
412	226	321
413	226	321
414	227	320
415	228	320
416	228	319
417	229	319
418	229	318
419	230	317
420	230	316
421	230	316
422	231	315
423	231	315
424	232	314
425	233	314
426	233	313
427	234	312
428	234	312
429	235	311
430	235	311
431	236	310
432	236	310
433	237	309
434	237	308
435	238	308
436	238	307
437	239	306
438	239	306
439	240	305
440	240	305
441	241	304
442	241	303
443	242	303
444	242	302
445	243	302
446	243	301
447	244	300
448	244	300
449	244	299
450	245	298
451	245	298
452	246	297
453	246	296
454	247	296
455	248	295
456	248	295
457	249	294
458	249	294
459	249	293
460	250	292
461	251	292
462	251	291
463	252	291
464	252	290
465	253	290
466	253	289
467	254	289
468	254	288
469	255	287
470	255	287
471	256	286
472	256	285
473	257	285
474	257	284
475	257	284
476	258	283
477	258	282
478	259	282
479	260	281
480	260	281
481	261	280
482	261	280
483	262	279
484	262	278
485	263	278
486	263	277
487	263	276
488	264	276
489	264	275
490	265	275
491	265	274
492	266	273
493	267	273
494	267	272
495	268	272
496	268	271
497	269	271
498	269	270
499	270	270
500	270	269
501	271	269
502	271	268
503	272	268
504	273	267
505	273	267
506	274	266
507	274	266
508	275	265
509	276	265
510	276	264
511	277	264
512	277	263
513	278	263
514	278	262
515	279	262
516	280	261
517	280	261
518	281	260
519	281	260
520	282	259
521	282	259
522	283	258
523	283	257
524	284	257
525	284	256
526	285	256
527	286	255
528	286	255
529	287	254
530	287	254
531	288	253
532	288	252
533	289	252
534	289	251
535	290	251
536	290	250
537	291	249
538	291	249
539	292	248
540	292	248
541	293	247
542	293	247
543	294	246
544	294	245
545	295	245
546	295	244
547	296	244
548	296	243
549	297	243
550	297	242
551	298	242
552	298	241
553	299	241
554	299	240
555	300	239
556	300	239
557	301	238
558	301	238
559	302	237
560	302	236
561	303	236
562	303	235
563	304	235
564	305	234
565	305	234
566	306	233
567	306	233
568	307	232
569	308	232
570	308	231
571	309	231
572	309	230
573	310	230
574	311	229
575	311	229
576	312	228
577	312	228
578	313	227
579	314	227
580	314	226
581	315	226
582	316	226
583	316	225
584	317	225
585	318	224
586	318	224
587	319	223
588	319	223
589	320	222
590	321	222
591	321	221
592	322	221
593	322	220
594	323	220
595	324	219
596	324	219
597	325	218
598	326	218
599	326	217
600	327	217
601	327	216
602	328	216
603	328	215
604	329	215
605	330	214
606	330	214
607	331	213
608	331	213
609	332	212
610	332	211
611	333	211
612	333	210
613	334	210
614	334	209
615	335	208
616	335	208
617	336	207
618	336	207
619	337	206
620	337	206
621	338	205
622	338	205
623	339	204
624	339	203
625	340	203
626	340	202
627	341	202
628	341	201
629	342	201
630	342	200
631	343	199
632	343	199
633	344	198
634	344	198
635	345	197
636	345	197
637	346	196
638	346	195
639	347	195
640	347	194
641	348	194
642	348	193
643	349	193
644	349	192
645	350	192
646	351	191
647	351	190
648	352	190
649	352	189
650	353	189
651	353	188
652	354	188
653	354	187
654	355	187
655	355	186
656	356	186
657	357	185
658	357	185
659	358	184
660	358	183
661	359	183
662	359	182
663	360	182
664	360	181
665	361	181
666	361	180
667	362	180
668	362	179
669	363	178
670	363	178
671	364	177
672	365	177
673	365	176
674	366	176
675	366	175
676	367	175
677	367	174
678	368	174
679	368	173
680	369	173
681	370	172
682	370	171
683	370	171
684	371	170
685	371	170
686	372	169
687	372	169
688	373	168
689	374	168
690	374	167
691	375	166
692	375	166
693	376	165
694	376	165
695	377	164
696	377	164
697	377	163
698	378	162
699	378	162
700	379	161
701	380	161
702	380	160
703	381	160
704	381	159
705	382	159
706	382	158
707	383	157
708	383	157
709	383	156
710	384	156
711	384	155
712	385	155
713	385	154
714	386	154
715	387	153
716	387	153
717	388	152
718	388	151
719	389	151
720	389	150
721	390	150
722	390	149
723	391	149
724	391	148
725	391	147
726	392	147
727	393	146
728	393	146
729	394	145
730	394	145
731	395	144
732	395	144
733	396	143
734	396	142
735	397	142
736	397	141
737	398	141
738	398	140
739	399	140
740	400	139
741	400	139
742	401	138
743	401	138
744	402	137
745	402	137
746	402	136
747	403	135
748	403	135
749	404	134
